id,protocol,page_number,text,merge_type
i-8ZSQxhYEPukTqbp7yKYtMM,prot-198990--102.xml,25.0,Mom. 5 (antalet nämndemän i domför sammansättning) [SPLIT]Utskottets hemställan bifölls med 216 röster mot 50 för reservation 4 av Göthe Knutson m.fl. 1 ledamot avstod från att rösta.,title_note
i-6imP5VYuaHqBGKF3ztjdfg,prot-198990--102.xml,4.0,Mom. 14 (gruvavfall i Falun och Garpenberg) [SPLIT]Utskottets hemställan — som ställdes mot reservation 7 av Rolf L Nilson och Lars Norberg — bifölls med acklamation.,title_note
i-CUCKVkntH6vUZo2j65gXAi,corpus/protocols/198990/prot-198990--99.xml,42.0,248 Anmälan om fråga [SPLIT]Anmäldes att följande fråga framställts [SPLIT]den 3 april,title_note
i-GgU54H15VbEjLkjcwmemdk,corpus/protocols/1921/prot-1921--fk--44.xml,178.0,Övriga delar av ifrågavarande lagförslag. [SPLIT]Godkändes.,title_note
i-HfUbe9kRoQm3gtXwVG3BqX,prot-198990--102.xml,3.0,Näringsutskottets betänkande NU29 [SPLIT]Mom. I och 2 [SPLIT]Utskottets hemställan bifölls,title_note
i-FxFCpCjbD1jRBzdxpetcar,corpus/protocols/1938/prot-1938--ak--20.xml,102.0,"kammaren bifallen. [SPLIT]$ 3. [SPLIT]Härefter föredrogs, punktvis, bankoutskottets utlåtande, nr 16, i anledning",title_note
i-Gd4RWSuuFY2SgEKc3gjhjt,corpus/protocols/1927/prot-1927--fk--13.xml,7.0,Övriga delar av ifrågavarande lagförslag. [SPLIT]Godkändes.,title_note
i-49nfgzeMwmSFZtGJhypQQG,corpus/protocols/1958/prot-1958-a-ak--17-02.xml,18.0,Samordningsfrågor [SPLIT]Utskottets förslag godkändes.,title_note
i-RNDLgvvRpsV27QCnv5EuRp,corpus/protocols/1928/prot-1928--fk--34.xml,70.0,Övriga delar av utskottets förslag till lag om skogsaccis. [SPLIT]Godkändes.,title_note
i-N6KiVTKmrmsBEH3b3KjsL9,prot-1965--fk--16.xml,137.0,Punkterna 46—92 [SPLIT]Vad utskottet hemställt bifölls.,title_note
i-V9H76xQofJSsF55As9rXAX,corpus/protocols/1936/prot-1936--ak--39.xml,32.0,"& 16: [SPLIT]Härpå upptogs till behandling statsutskottets utlåtande, nr 137, i anledning [SPLIT]Ang. fortsatt [SPLIT]av väckta motioner angående fortsatt elektrifiering av statsbanorna. [SPLIT]elektrifiering",note_margin
i-MDFtGttntyKyr6tEk48a3c,corpus/protocols/1934/prot-1934--ak--42.xml,0.0,"Härefter föredrogos, men bordlades åter bevillningsutskottets betänkanden nr 59—61. [SPLIT]' & 5.",title_note
i-DRNZ91ATjVu7RfUAp4RFJH,corpus/protocols/198384/prot-198384--43.xml,4.0,"28 [SPLIT]Fortsattes behandlingen av arbetsmarknadsutskottets betänkande 1983/ 84:8, socialförsäkringsutskottets betänkande 1983/84:13, kulturutskottets betänkande 1983/84:6, utbildningsutskottets betänkande 1983/84:6 och bostadsutskottets betänkande 1983/84:7 (forts. från prot. 42).",title_note
i-7L9cUHZCdadwje4kBW6hEL,corpus/protocols/1936/prot-1936--fk--28.xml,78.0,Övriga delar av ifrågavarande lagförslag. [SPLIT]Godkändes.,title_note
i-N167ojsHBS1EczUDhiw5rv,corpus/protocols/1925/prot-1925--fk--39.xml,84.0,Övriga delar av ifrågavarande lagförslag. [SPLIT]Godkändes.,title_note
i-S5yW7yThjQYNEVWjpW2ccE,prot-1940--ak--20.xml,11.0,"Ang. auto- 3 ; i . ME [SPLIT]Punkten 8, angående automobilskattemedlens specialbudget",note_margin
i-AaXCZ6HX3yDTpU2SvuvEMw,corpus/protocols/1944/prot-1944--fk--26.xml,46.0,Övriga delar av ifrågavarande lagförslag. [SPLIT]Godkändes.,title_note
i-TWi1AmSUX1ko3BFV141DAg,prot-198990--102.xml,1.0,Mom. 10 (arbetsmiljöavgift) [SPLIT]Utskottets hemställan bifölls med 219 röster mot 56 för reservation 4 av Gullan Lindblad m.fl.,title_note
i-EB9CSKdtcRDh2QLsjqSQUk,corpus/protocols/1932/prot-1932--ak--58.xml,105.0,11—20 $$; överskriften till 7—20 $$; 21—31 $$ med tillhörande överskrift; 32—43 $$ med tillhörande överskrift; rubriken till 2 kap; 44—55 $$; rubriken till 3 kap.; 56 $; rubriken till 4 kap.; 57—61 $$; rubriken till 5 kap.; 62—68 $$.,
i-GDZZRnotgMg5kHZiqbQfy8,corpus/protocols/198081/prot-198081--157.xml,38.0,38 [SPLIT]På förslag av talmannen beslöt kammaren att uppskjuta behandlingen av på föredragningslistan återstående två gånger bordlagda ärenden till morgondagens sammanträde.,title_note
i-XJZtyK4Sov1WZdGMeTMDCH,prot-198990--102.xml,2.0,Mom. 2 (överklagande av förvaltningsbeslut) [SPLIT]Utskottets hemställan — som ställdes mot reservation 3 av Karin Israelsson och Rune Backlund — bifölls med acklamation.,title_note
i-44UNVGtJ4RpQnjuSVh4bSP,corpus/protocols/1975/prot-1975--30.xml,75.0,"Nej 18 [SPLIT]Onsdagen den [SPLIT]Mom. 4 [SPLIT]5 mars 1975 [SPLIT]Propositioner gavs på bifall till dels utskottets hemställan, dels re- [SPLIT]Anslas Hillskohå: [SPLIT]servationen nr 2 av fru Lantz och fru Nordlander, och förklarades den [SPLIT]NSIAg tilE skolyds u slå - ne Zz h j] sendets centrala och [SPLIT]förra propositionen vara med övervägande ja besvarad. Sedan herr Berndtional di [SPLIT]son begärt votering upplästes och godkändes följande voteringspropo- [SPLIT]KEBIORAAINYNAIR: heter m. m.",note_margin
i-EZyPduCFdE2c2G1JBZhYBF,prot-1955--ak--13.xml,13.0,8 8 [SPLIT]Föredrogos vart efter annat,title_note
i-JkqjSEuuYa6tmTbaU9EXPC,prot-1965--fk--16.xml,134.0,Punkterna 6—39 [SPLIT]Vad utskottet hemställt bifölls.,title_note
