path,link-prot,true-dates,comment
data/1867/prot-1867--ak--0510.xml,https://betalab.kb.se/prot-1867--ak--0510/_view,1867-05-10,
data/1867/prot-1867--fk--0426.xml,https://betalab.kb.se/prot-1867--fk--0426/_view,1867-04-26,
data/1868/prot-1868--ak--0313.xml,https://betalab.kb.se/prot-1868--ak--0313/_view,1868-03-13 - 1868-03-14,fixed
data/1868/prot-1868--fk--0229.xml,https://betalab.kb.se/prot-1868--fk--0229/_view,1868-02-29 - 1868-03-02,fixed
data/1869/prot-1869--ak--0310.xml,https://betalab.kb.se/prot-1869--ak--0310/_view,1869-03-10,
data/1869/prot-1869--fk--0507.xml,https://betalab.kb.se/prot-1869--fk--0507/_view,1869-05-07,
data/1870/prot-1870--ak--0504.xml,https://betalab.kb.se/prot-1870--ak--0504/_view,1870-05-04,
data/1870/prot-1870--fk--0330.xml,https://betalab.kb.se/prot-1870--fk--0330/_view,1870-03-30,
data/1871/prot-1871--ak--0512.xml,https://betalab.kb.se/prot-1871--ak--0512/_view,1871-05-12,
data/1871/prot-1871--fk--0218.xml,https://betalab.kb.se/prot-1871--fk--0218/_view,1871-02-18 - 1871-02-21,fixed
data/1872/prot-1872--ak--0207.xml,https://betalab.kb.se/prot-1872--ak--0207/_view,1872-02-07,
data/1872/prot-1872--fk--0320.xml,https://betalab.kb.se/prot-1872--fk--0320/_view,1872-03-20,
data/1873/prot-1873--ak--0322.xml,https://betalab.kb.se/prot-1873--ak--0322/_view,1873-03-22,
data/1873/prot-1873--fk--0523.xml,https://betalab.kb.se/prot-1873--fk--0523/_view,1873-05-23,
data/1874/prot-1874--ak--0411.xml,https://betalab.kb.se/prot-1874--ak--0411/_view,1874-04-11,
data/1874/prot-1874--fk--0120.xml,https://betalab.kb.se/prot-1874--fk--0120/_view,1874-01-20,
data/1875/prot-1875--ak--019.xml,https://betalab.kb.se/prot-1875--ak--19/_view,1875-03-13 - 1875-03-15,fixed
data/1875/prot-1875--fk--042.xml,https://betalab.kb.se/prot-1875--fk--42/_view,1875-05-18,
data/1876/prot-1876--ak--009.xml,https://betalab.kb.se/prot-1876--ak--9/_view,1876-02-19,
data/1876/prot-1876--fk--004.xml,https://betalab.kb.se/prot-1876--fk--4/_view,1876-02-05 - 1876-02-12,fixed
data/1877/prot-1877--ak--024.xml,https://betalab.kb.se/prot-1877--ak--24/_view,1877-03-16 - 1877-03-20,fixed
data/1877/prot-1877--fk--032.xml,https://betalab.kb.se/prot-1877--fk--32/_view,1877-04-28,
data/1878/prot-1878--ak--057.xml,https://betalab.kb.se/prot-1878--ak--57/_view,1878-05-11,
data/1878/prot-1878--fk--016.xml,https://betalab.kb.se/prot-1878--fk--16/_view,1878-03-11 - 1878-03-13,fixed
data/1879/prot-1879--ak--059.xml,https://betalab.kb.se/prot-1879--ak--59/_view,1879-05-11 - 1879-05-12,fixed
data/1879/prot-1879--fk--036.xml,https://betalab.kb.se/prot-1879--fk--36/_view,1879-05-06,
data/1880/prot-1880--ak--003.xml,https://betalab.kb.se/prot-1880--ak--3/_view,1880-01-21 - 1880-01-24,fixed
data/1880/prot-1880--fk--042.xml,https://betalab.kb.se/prot-1880--fk--42/_view,1880-05-10,
data/1881/prot-1881--ak--003.xml,https://betalab.kb.se/prot-1881--ak--3/_view,1881-01-26,
data/1881/prot-1881--fk--021.xml,https://betalab.kb.se/prot-1881--fk--21/_view,1881-03-19,
data/1882/prot-1882--ak--055.xml,https://betalab.kb.se/prot-1882--ak--55/_view,1882-05-11,
data/1882/prot-1882--fk--033.xml,https://betalab.kb.se/prot-1882--fk--33/_view,1882-04-27,
data/1883/prot-1883--ak--049.xml,https://betalab.kb.se/prot-1883--ak--49/_view,1883-05-21,
data/1883/prot-1883--fk--032.xml,https://betalab.kb.se/prot-1883--fk--32/_view,1883-05-05,
data/1884/prot-1884--ak--007.xml,https://betalab.kb.se/prot-1884--ak--7/_view,1884-02-08 - 1884-02-09,fixed
data/1884/prot-1884--fk--006.xml,https://betalab.kb.se/prot-1884--fk--6/_view,1884-02-12 - 1884-02-13,fixed
data/1885/prot-1885--ak--019.xml,https://betalab.kb.se/prot-1885--ak--19/_view,1885-03-06 - 1885-03-07,fixed
data/1885/prot-1885--fk--016.xml,https://betalab.kb.se/prot-1885--fk--16/_view,1885-03-14,
data/1886/prot-1886--ak--060.xml,https://betalab.kb.se/prot-1886--ak--60/_view,1886-05-15 - 1886-06-02,fixed
data/1886/prot-1886--fk--009.xml,https://betalab.kb.se/prot-1886--fk--9/_view,1886-02-20 - 1886-02-21,fixed
