,year,prot,pages,intros,words
0,1867,149,4660,6889,1591238
1,1868,130,4591,4766,1592931
2,1869,123,4525,5142,1580857
3,1870,129,4157,4046,1435350
4,1871,160,5194,4831,1895649
5,1872,123,4353,3891,1532646
6,1873,148,5100,4535,1824376
7,1874,152,4283,4078,1455329
8,1875,103,4655,3944,1564345
9,1876,95,4343,3372,1480530
10,1877,107,4494,3608,1514412
11,1878,112,4551,3336,1602362
12,1879,103,3827,3067,1302538
13,1880,104,3812,3042,1316188
14,1881,85,2867,2045,1003666
15,1882,113,4048,2778,1443849
16,1883,118,3778,2677,1328002
17,1884,94,2894,2190,937789
18,1885,109,3816,2750,1335744
19,1886,103,3840,2784,1333906
20,1887,86,3101,2109,1021747
21,1888,94,3770,2862,1304866
22,1889,94,4094,2732,1461603
23,1890,85,3563,2716,1185833
24,1891,88,3484,2608,1156740
25,1892,102,4279,3050,1378249
26,1893,79,3211,2377,1054098
27,1894,92,3901,2641,1282653
28,1895,81,3562,2570,1184232
29,1896,79,3786,2549,1262177
30,1897,78,3773,2494,1253249
31,1898,77,3829,2215,1292059
32,1899,69,3067,1929,992187
33,1900,96,3447,2034,1155933
34,1901,81,3438,1960,1130132
35,1902,93,3881,2361,1269410
36,1903,129,4130,2321,1362308
37,1904,126,4604,2365,1495605
38,1905,136,4624,2519,1420572
39,1906,120,4524,2174,1484967
40,1907,126,5192,2600,1588914
41,1908,139,5674,3030,1791118
42,1909,120,5428,2784,1750368
43,1910,103,6088,3428,2086481
44,1911,93,6163,3092,2128578
45,1912,97,6307,3230,2204961
46,1913,97,6562,3476,2391449
47,1914,277,5789,2978,1955109
48,1915,183,5094,2726,1834711
49,1916,202,5117,2694,1791033
50,1917,148,6925,3653,2561289
51,1918,176,8148,3858,2999756
52,1919,149,7803,4278,2832141
53,1920,153,8071,4765,3092845
54,1921,110,8722,5015,3436475
55,1922,93,6818,3862,2727106
56,1923,91,5843,3514,2282936
57,1924,90,5811,3917,2582541
58,1925,88,4918,3661,2239336
59,1926,88,5683,4109,2707307
60,1927,84,5593,4089,2648870
61,1928,84,5847,4360,2810465
62,1929,82,5847,4217,2908736
63,1930,94,6349,4891,3094375
64,1931,92,5543,4021,2699010
65,1932,112,7295,4968,3660696
66,1933,101,5842,4474,2692625
67,1934,95,5742,4302,2667217
68,1935,86,4641,3510,2115118
69,1936,98,5757,4435,2643704
70,1937,88,4793,3571,2185436
71,1938,87,4492,3278,2047723
72,1939,142,5555,4394,2477679
73,1940,128,4632,3496,2052009
74,1941,102,4401,3186,1998795
75,1942,60,5003,3485,2353748
76,1943,72,5161,3599,2384781
77,1944,70,4906,3601,2275671
78,1945,84,6669,4845,3191777
79,1946,86,6384,4626,3070821
80,1947,74,5023,3493,2336597
81,1948,80,6723,4986,3209625
82,1949,64,5417,3935,2574526
83,1950,68,5831,4358,2741600
84,1951,70,6355,4981,2992988
85,1952,64,5886,4745,2715558
86,1953,64,5643,4455,2634942
87,1954,66,6259,5223,2910489
88,1955,64,5976,5017,2732445
89,1956,66,6553,5581,2988982
90,1957,60,5880,5112,2617813
91,1958,66,6504,5494,2939689
92,1959,64,6661,5568,2948781
93,1960,59,6761,6023,2912716
94,1961,72,6268,5206,2692147
95,1962,73,7028,5632,3057543
96,1963,74,7231,6013,3190936
97,1964,84,8230,7366,3529092
98,1965,84,7912,7116,3422241
99,1966,78,8285,7619,3610675
100,1967,106,9909,9099,4393404
101,1968,90,9042,8477,3931411
102,1969,86,9304,8853,4060869
103,1970,92,9882,8751,4214297
104,1971,153,9887,7604,3819206
105,1972,148,10703,8069,4023408
106,1973,161,10732,7657,3916190
107,1974,146,9502,6927,3318375
108,1975,253,18734,13644,6309326
109,1976,139,8678,6993,2943360
110,1977,165,11453,9611,4124437
111,1978,176,12278,10335,4116040
112,1979,172,11316,10131,3885636
113,1980,174,10097,9165,3800097
114,1981,178,11092,10152,4096858
115,1982,167,10165,10012,3714561
116,1983,170,10743,10922,3948083
117,1984,169,10767,10712,4008008
118,1985,167,9558,10468,3604574
119,1986,139,9867,10715,3872952
120,1987,140,10343,10798,4102224
121,1988,133,10049,11668,3924182
122,1989,142,10905,12929,4486791
123,1990,133,68,12133,4473053
124,1991,131,86,13310,3890946
125,1992,127,88,14012,4303924
126,1993,125,0,13056,4141749
127,1994,123,8493,11358,3575551
128,1995,115,7778,10302,3144410
129,1996,119,9495,12890,4163526
130,1997,122,9845,13355,4390406
131,1998,113,7976,12507,3567720
132,1999,128,9779,13527,4331630
133,2000,129,10638,14347,4613972
134,2001,125,10524,13819,4559244
135,2002,122,9275,12787,4124491
136,2003,134,10047,13631,4538801
137,2004,144,11747,15999,5362698
138,2005,145,10858,13957,4933864
139,2006,136,10730,14161,4857982
140,2007,141,12489,16042,5711144
141,2008,142,11675,13944,5170145
142,2009,147,10338,12070,4702052
143,2010,128,9249,11506,4233437
144,2011,140,9711,11600,4381618
145,2012,136,10337,12167,4689117
146,2013,134,11567,14189,5284958
147,2014,123,10435,13033,4430259
148,2015,130,10784,13791,4658512
149,2016,134,10041,12728,4265050
150,2017,142,10539,12486,4524876
151,2018,112,7384,9402,3069920
152,2019,148,8538,10466,3544674
153,2020,158,12981,15217,5579663
154,2021,142,11640,12232,4572865
155,2022,135,11497,12484,4033245
